"Step","spikformer_x1_d1_e200 - test/acc1_g2","spikformer_x1_d1_e200 - test/acc1_g2__MIN","spikformer_x1_d1_e200 - test/acc1_g2__MAX","spikformer_x2_d1_e200 - test/acc1_g2","spikformer_x2_d1_e200 - test/acc1_g2__MIN","spikformer_x2_d1_e200 - test/acc1_g2__MAX","spikformer_x2_d3_e256_m4_h16 - test/acc1_g2","spikformer_x2_d3_e256_m4_h16 - test/acc1_g2__MIN","spikformer_x2_d3_e256_m4_h16 - test/acc1_g2__MAX","spikformer_x1_d3_e256_m4_h16 - test/acc1_g2","spikformer_x1_d3_e256_m4_h16 - test/acc1_g2__MIN","spikformer_x1_d3_e256_m4_h16 - test/acc1_g2__MAX","spikformer_x2_d2_e256_m4_h16 - test/acc1_g2","spikformer_x2_d2_e256_m4_h16 - test/acc1_g2__MIN","spikformer_x2_d2_e256_m4_h16 - test/acc1_g2__MAX","spikformer_x1_d2_e256_m4_h16 - test/acc1_g2","spikformer_x1_d2_e256_m4_h16 - test/acc1_g2__MIN","spikformer_x1_d2_e256_m4_h16 - test/acc1_g2__MAX","spikformer_x1_d1_e256_m4_h16 - test/acc1_g2","spikformer_x1_d1_e256_m4_h16 - test/acc1_g2__MIN","spikformer_x1_d1_e256_m4_h16 - test/acc1_g2__MAX","spikformer_x2_d1_e256_m4_h16 - test/acc1_g2","spikformer_x2_d1_e256_m4_h16 - test/acc1_g2__MIN","spikformer_x2_d1_e256_m4_h16 - test/acc1_g2__MAX"
"25","60.8","60.8","60.8","67.9","67.9","67.9","67.8","67.8","67.8","52.6","52.6","52.6","63.5","63.5","63.5","50.3","50.3","50.3","63.29999999999999","63.3","63.3","69","69","69"
"26","64.6","64.6","64.6","65.2","65.2","65.2","55.1","55.1","55.1","53","53","53","69.9","69.9","69.9","61.3","61.3","61.3","64.8","64.8","64.8","69.1","69.1","69.1"
"27","65.9","65.9","65.9","69.2","69.2","69.2","56.3","56.3","56.3","52.2","52.2","52.2","61.9","61.9","61.9","64.7","64.7","64.7","66.1","66.1","66.1","62.2","62.2","62.2"
"28","67.9","67.9","67.9","67.9","67.9","67.9","63.3","63.3","63.3","49.8","49.8","49.8","64.5","64.5","64.5","60","60","60","65","65","65","70.3","70.3","70.3"
"29","50.9","50.9","50.9","67.3","67.3","67.3","56.4","56.4","56.4","49.3","49.3","49.3","66.6","66.6","66.6","52.9","52.9","52.9","61.4","61.4","61.4","67.5","67.5","67.5"
"30","62.3","62.3","62.3","66.2","66.2","66.2","67.3","67.3","67.3","57.5","57.5","57.5","67.6","67.6","67.6","57.9","57.9","57.9","62.20000000000001","62.2","62.2","65.9","65.9","65.9"
"31","65.1","65.1","65.1","65.3","65.3","65.3","60.8","60.8","60.8","52.1","52.1","52.1","66.8","66.8","66.8","45.7","45.7","45.7","62.6","62.6","62.6","70.5","70.5","70.5"
"32","66.1","66.1","66.1","64.8","64.8","64.8","68","68","68","55","55","55","73.2","73.2","73.2","61","61","61","68.7","68.7","68.7","63.3","63.3","63.3"
"33","67.3","67.3","67.3","69.8","69.8","69.8","67","67","67","38.3","38.3","38.3","64.7","64.7","64.7","64.8","64.8","64.8","64.2","64.2","64.2","70.2","70.2","70.2"
"34","68.6","68.6","68.6","66.4","66.4","66.4","69.5","69.5","69.5","54","54","54","69.8","69.8","69.8","67.7","67.7","67.7","64.9","64.9","64.9","63","63","63"
"35","50.9","50.9","50.9","65.3","65.3","65.3","64.1","64.1","64.1","42.3","42.3","42.3","65.8","65.8","65.8","60.1","60.1","60.1","61.20000000000001","61.2","61.2","61.8","61.8","61.8"
"36","70.8","70.8","70.8","61.7","61.7","61.7","70.6","70.6","70.6","52.7","52.7","52.7","69.1","69.1","69.1","68.2","68.2","68.2","69.9","69.9","69.9","70.4","70.4","70.4"
"37","67.6","67.6","67.6","66.7","66.7","66.7","67.8","67.8","67.8","54.9","54.9","54.9","71.8","71.8","71.8","66.6","66.6","66.6","65.1","65.1","65.1","68","68","68"
"38","68.6","68.6","68.6","66.2","66.2","66.2","72.1","72.1","72.1","48","48","48","71.4","71.4","71.4","69.3","69.3","69.3","65.9","65.9","65.9","65.8","65.8","65.8"
"39","65.3","65.3","65.3","64.9","64.9","64.9","71.4","71.4","71.4","61","61","61","73.4","73.4","73.4","67.7","67.7","67.7","68.3","68.3","68.3","71.3","71.3","71.3"
"40","71.3","71.3","71.3","69.9","69.9","69.9","72.5","72.5","72.5","60.1","60.1","60.1","72.1","72.1","72.1","67.9","67.9","67.9","67.5","67.5","67.5","72.1","72.1","72.1"
"41","67.7","67.7","67.7","63.3","63.3","63.3","68","68","68","51.2","51.2","51.2","66.2","66.2","66.2","63","63","63","66.6","66.6","66.6","66.4","66.4","66.4"
"42","52.5","52.5","52.5","70.1","70.1","70.1","72","72","72","58.2","58.2","58.2","72.9","72.9","72.9","59.4","59.4","59.4","54.4","54.4","54.4","67.5","67.5","67.5"
"43","61.7","61.7","61.7","71.2","71.2","71.2","67.7","67.7","67.7","55.6","55.6","55.6","68.3","68.3","68.3","58.6","58.6","58.6","66.8","66.8","66.8","67.8","67.8","67.8"
"44","67.7","67.7","67.7","70.6","70.6","70.6","69.4","69.4","69.4","58.2","58.2","58.2","73.6","73.6","73.6","66.7","66.7","66.7","67.1","67.1","67.1","70.6","70.6","70.6"
"45","69.4","69.4","69.4","73","73","73","70.2","70.2","70.2","63.6","63.6","63.6","72.7","72.7","72.7","67.5","67.5","67.5","73.2","73.2","73.2","73.8","73.8","73.8"
"46","64.8","64.8","64.8","71.5","71.5","71.5","73.5","73.5","73.5","48.7","48.7","48.7","71.6","71.6","71.6","66.7","66.7","66.7","66.5","66.5","66.5","69.9","69.9","69.9"
"47","65.8","65.8","65.8","69.8","69.8","69.8","69.9","69.9","69.9","54.7","54.7","54.7","69","69","69","58.5","58.5","58.5","60.79999999999999","60.8","60.8","72.1","72.1","72.1"
"48","67.5","67.5","67.5","69.3","69.3","69.3","74.8","74.8","74.8","56.7","56.7","56.7","72.6","72.6","72.6","60.2","60.2","60.2","70.7","70.7","70.7","72.3","72.3","72.3"
"49","70","70","70","70.8","70.8","70.8","73","73","73","58.7","58.7","58.7","72.1","72.1","72.1","65.9","65.9","65.9","71.3","71.3","71.3","72.9","72.9","72.9"
"50","69.2","69.2","69.2","65.4","65.4","65.4","73.2","73.2","73.2","60.7","60.7","60.7","70.6","70.6","70.6","66.4","66.4","66.4","71","71","71","75.6","75.6","75.6"
"51","69.2","69.2","69.2","67.8","67.8","67.8","73.1","73.1","73.1","61.3","61.3","61.3","73.4","73.4","73.4","59.8","59.8","59.8","71.4","71.4","71.4","74.8","74.8","74.8"
"52","67.5","67.5","67.5","72.4","72.4","72.4","68","68","68","48.3","48.3","48.3","71.5","71.5","71.5","65","65","65","71.9","71.9","71.9","70.6","70.6","70.6"
"53","66.5","66.5","66.5","70.7","70.7","70.7","73.5","73.5","73.5","42","42","42","70.5","70.5","70.5","56.9","56.9","56.9","69","69","69","69.3","69.3","69.3"
