"Step","L1_D256_H16_M4_xisps_elastic_a1 - test/acc1_g2","L1_D256_H16_M4_xisps_elastic_a1 - test/acc1_g2__MIN","L1_D256_H16_M4_xisps_elastic_a1 - test/acc1_g2__MAX","L1_D256_H16_M4_xispsv2_elastic_a2 - test/acc1_g2","L1_D256_H16_M4_xispsv2_elastic_a2 - test/acc1_g2__MIN","L1_D256_H16_M4_xispsv2_elastic_a2 - test/acc1_g2__MAX","L1_D160_H16_M4_xisps_a1 - test/acc1_g2","L1_D160_H16_M4_xisps_a1 - test/acc1_g2__MIN","L1_D160_H16_M4_xisps_a1 - test/acc1_g2__MAX","L2_D384_H16_M4_xisps_a1 - test/acc1_g2","L2_D384_H16_M4_xisps_a1 - test/acc1_g2__MIN","L2_D384_H16_M4_xisps_a1 - test/acc1_g2__MAX","L2_D384_H16_M4_xispsv2_elastic_a2 - test/acc1_g2","L2_D384_H16_M4_xispsv2_elastic_a2 - test/acc1_g2__MIN","L2_D384_H16_M4_xispsv2_elastic_a2 - test/acc1_g2__MAX","L2_D384_H16_M4_xisps_elastic_a1 - test/acc1_g2","L2_D384_H16_M4_xisps_elastic_a1 - test/acc1_g2__MIN","L2_D384_H16_M4_xisps_elastic_a1 - test/acc1_g2__MAX","L1_D256_H16_M4_baseline - test/acc1_g2","L1_D256_H16_M4_baseline - test/acc1_g2__MIN","L1_D256_H16_M4_baseline - test/acc1_g2__MAX","L2_D384_H16_M4_baseline - test/acc1_g2","L2_D384_H16_M4_baseline - test/acc1_g2__MIN","L2_D384_H16_M4_baseline - test/acc1_g2__MAX","L1_D256_H16_M4_xisps_a1 - test/acc1_g2","L1_D256_H16_M4_xisps_a1 - test/acc1_g2__MIN","L1_D256_H16_M4_xisps_a1 - test/acc1_g2__MAX"
"10","38.888888888888886","38.888888888888886","38.888888888888886","48.263888888888886","48.263888888888886","48.263888888888886","34.375","34.375","34.375","18.40277777777778","18.40277777777778","18.40277777777778","43.40277777777778","43.40277777777778","43.40277777777778","45.138888888888886","45.138888888888886","45.138888888888886","59.02777777777778","59.02777777777778","59.02777777777778","41.666666666666664","41.666666666666664","41.666666666666664","64.93055555555556","64.93055555555556","64.93055555555556"
"11","37.15277777777778","37.15277777777778","37.15277777777778","42.708333333333336","42.708333333333336","42.708333333333336","53.47222222222222","53.47222222222222","53.47222222222222","18.055555555555557","18.055555555555557","18.055555555555557","44.44444444444444","44.44444444444444","44.44444444444444","38.541666666666664","38.541666666666664","38.541666666666664","61.111111111111114","61.111111111111114","61.111111111111114","68.40277777777777","68.40277777777777","68.40277777777777","46.52777777777778","46.52777777777778","46.52777777777778"
"12","69.09722222222223","69.09722222222223","69.09722222222223","44.44444444444444","44.44444444444444","44.44444444444444","51.736111111111114","51.736111111111114","51.736111111111114","42.361111111111114","42.361111111111114","42.361111111111114","52.77777777777778","52.77777777777778","52.77777777777778","52.43055555555556","52.43055555555556","52.43055555555556","62.15277777777778","62.15277777777778","62.15277777777778","55.208333333333336","55.208333333333336","55.208333333333336","58.68055555555556","58.68055555555556","58.68055555555556"
"13","68.75","68.75","68.75","55.208333333333336","55.208333333333336","55.208333333333336","52.43055555555556","52.43055555555556","52.43055555555556","43.75","43.75","43.75","48.263888888888886","48.263888888888886","48.263888888888886","51.388888888888886","51.388888888888886","51.388888888888886","62.15277777777778","62.15277777777778","62.15277777777778","55.90277777777778","55.90277777777778","55.90277777777778","60.416666666666664","60.416666666666664","60.416666666666664"
"14","63.888888888888886","63.888888888888886","63.888888888888886","53.81944444444444","53.81944444444444","53.81944444444444","64.23611111111111","64.23611111111111","64.23611111111111","45.486111111111114","45.486111111111114","45.486111111111114","54.513888888888886","54.513888888888886","54.513888888888886","37.15277777777778","37.15277777777778","37.15277777777778","42.361111111111114","42.361111111111114","42.361111111111114","61.458333333333336","61.458333333333336","61.458333333333336","64.93055555555556","64.93055555555556","64.93055555555556"
"15","59.72222222222222","59.72222222222222","59.72222222222222","68.05555555555556","68.05555555555556","68.05555555555556","57.638888888888886","57.638888888888886","57.638888888888886","50.69444444444444","50.69444444444444","50.69444444444444","50.34722222222222","50.34722222222222","50.34722222222222","23.61111111111111","23.61111111111111","23.61111111111111","75","75","75","68.75","68.75","68.75","66.31944444444444","66.31944444444444","66.31944444444444"
"16","60.416666666666664","60.416666666666664","60.416666666666664","50.34722222222222","50.34722222222222","50.34722222222222","72.56944444444444","72.56944444444444","72.56944444444444","43.75","43.75","43.75","38.541666666666664","38.541666666666664","38.541666666666664","42.708333333333336","42.708333333333336","42.708333333333336","71.18055555555556","71.18055555555556","71.18055555555556","68.05555555555556","68.05555555555556","68.05555555555556","64.58333333333333","64.58333333333333","64.58333333333333"
"17","73.26388888888889","73.26388888888889","73.26388888888889","60.763888888888886","60.763888888888886","60.763888888888886","51.736111111111114","51.736111111111114","51.736111111111114","54.861111111111114","54.861111111111114","54.861111111111114","53.125","53.125","53.125","51.041666666666664","51.041666666666664","51.041666666666664","62.5","62.5","62.5","69.79166666666667","69.79166666666667","69.79166666666667","76.73611111111111","76.73611111111111","76.73611111111111"
"18","71.18055555555556","71.18055555555556","71.18055555555556","64.93055555555556","64.93055555555556","64.93055555555556","75.34722222222223","75.34722222222223","75.34722222222223","36.80555555555556","36.80555555555556","36.80555555555556","48.958333333333336","48.958333333333336","48.958333333333336","41.31944444444444","41.31944444444444","41.31944444444444","67.70833333333333","67.70833333333333","67.70833333333333","63.888888888888886","63.888888888888886","63.888888888888886","56.59722222222222","56.59722222222222","56.59722222222222"
"19","66.66666666666667","66.66666666666667","66.66666666666667","72.56944444444444","72.56944444444444","72.56944444444444","70.13888888888889","70.13888888888889","70.13888888888889","57.291666666666664","57.291666666666664","57.291666666666664","63.888888888888886","63.888888888888886","63.888888888888886","42.361111111111114","42.361111111111114","42.361111111111114","70.83333333333333","70.83333333333333","70.83333333333333","72.22222222222223","72.22222222222223","72.22222222222223","79.51388888888889","79.51388888888889","79.51388888888889"
"20","56.94444444444444","56.94444444444444","56.94444444444444","56.25","56.25","56.25","71.875","71.875","71.875","52.43055555555556","52.43055555555556","52.43055555555556","56.59722222222222","56.59722222222222","56.59722222222222","61.111111111111114","61.111111111111114","61.111111111111114","77.77777777777777","77.77777777777777","77.77777777777777","67.36111111111111","67.36111111111111","67.36111111111111","76.38888888888889","76.38888888888889","76.38888888888889"
"21","72.56944444444444","72.56944444444444","72.56944444444444","65.625","65.625","65.625","61.80555555555556","61.80555555555556","61.80555555555556","48.263888888888886","48.263888888888886","48.263888888888886","48.263888888888886","48.263888888888886","48.263888888888886","54.513888888888886","54.513888888888886","54.513888888888886","68.05555555555556","68.05555555555556","68.05555555555556","65.625","65.625","65.625","72.91666666666667","72.91666666666667","72.91666666666667"
"22","73.95833333333333","73.95833333333333","73.95833333333333","71.18055555555556","71.18055555555556","71.18055555555556","60.06944444444444","60.06944444444444","60.06944444444444","62.5","62.5","62.5","47.22222222222222","47.22222222222222","47.22222222222222","57.638888888888886","57.638888888888886","57.638888888888886","72.22222222222223","72.22222222222223","72.22222222222223","67.01388888888889","67.01388888888889","67.01388888888889","72.91666666666667","72.91666666666667","72.91666666666667"
"23","68.40277777777777","68.40277777777777","68.40277777777777","64.23611111111111","64.23611111111111","64.23611111111111","59.02777777777778","59.02777777777778","59.02777777777778","55.90277777777778","55.90277777777778","55.90277777777778","56.59722222222222","56.59722222222222","56.59722222222222","50.69444444444444","50.69444444444444","50.69444444444444","70.48611111111111","70.48611111111111","70.48611111111111","72.56944444444444","72.56944444444444","72.56944444444444","74.30555555555556","74.30555555555556","74.30555555555556"
"24","73.61111111111111","73.61111111111111","73.61111111111111","57.291666666666664","57.291666666666664","57.291666666666664","64.93055555555556","64.93055555555556","64.93055555555556","36.80555555555556","36.80555555555556","36.80555555555556","72.22222222222223","72.22222222222223","72.22222222222223","56.25","56.25","56.25","70.48611111111111","70.48611111111111","70.48611111111111","57.986111111111114","57.986111111111114","57.986111111111114","54.861111111111114","54.861111111111114","54.861111111111114"
"25","81.25","81.25","81.25","72.22222222222223","72.22222222222223","72.22222222222223","63.19444444444444","63.19444444444444","63.19444444444444","58.68055555555556","58.68055555555556","58.68055555555556","46.52777777777778","46.52777777777778","46.52777777777778","65.625","65.625","65.625","75.34722222222223","75.34722222222223","75.34722222222223","63.541666666666664","63.541666666666664","63.541666666666664","71.18055555555556","71.18055555555556","71.18055555555556"
"26","73.26388888888889","73.26388888888889","73.26388888888889","70.13888888888889","70.13888888888889","70.13888888888889","68.40277777777777","68.40277777777777","68.40277777777777","65.27777777777777","65.27777777777777","65.27777777777777","59.72222222222222","59.72222222222222","59.72222222222222","66.31944444444444","66.31944444444444","66.31944444444444","64.93055555555556","64.93055555555556","64.93055555555556","69.44444444444444","69.44444444444444","69.44444444444444","68.40277777777777","68.40277777777777","68.40277777777777"
"27","64.58333333333333","64.58333333333333","64.58333333333333","76.38888888888889","76.38888888888889","76.38888888888889","72.22222222222223","72.22222222222223","72.22222222222223","62.84722222222222","62.84722222222222","62.84722222222222","68.40277777777777","68.40277777777777","68.40277777777777","66.66666666666667","66.66666666666667","66.66666666666667","80.55555555555556","80.55555555555556","80.55555555555556","80.55555555555556","80.55555555555556","80.55555555555556","73.26388888888889","73.26388888888889","73.26388888888889"
"28","73.95833333333333","73.95833333333333","73.95833333333333","77.43055555555556","77.43055555555556","77.43055555555556","71.875","71.875","71.875","70.48611111111111","70.48611111111111","70.48611111111111","62.5","62.5","62.5","72.91666666666667","72.91666666666667","72.91666666666667","78.81944444444444","78.81944444444444","78.81944444444444","66.31944444444444","66.31944444444444","66.31944444444444","70.83333333333333","70.83333333333333","70.83333333333333"
"29","65.27777777777777","65.27777777777777","65.27777777777777","76.73611111111111","76.73611111111111","76.73611111111111","72.22222222222223","72.22222222222223","72.22222222222223","61.458333333333336","61.458333333333336","61.458333333333336","65.625","65.625","65.625","71.52777777777777","71.52777777777777","71.52777777777777","68.75","68.75","68.75","74.65277777777777","74.65277777777777","74.65277777777777","76.38888888888889","76.38888888888889","76.38888888888889"
"30","77.43055555555556","77.43055555555556","77.43055555555556","71.52777777777777","71.52777777777777","71.52777777777777","73.26388888888889","73.26388888888889","73.26388888888889","71.875","71.875","71.875","52.77777777777778","52.77777777777778","52.77777777777778","72.56944444444444","72.56944444444444","72.56944444444444","73.61111111111111","73.61111111111111","73.61111111111111","57.986111111111114","57.986111111111114","57.986111111111114","74.30555555555556","74.30555555555556","74.30555555555556"
"31","72.56944444444444","72.56944444444444","72.56944444444444","41.666666666666664","41.666666666666664","41.666666666666664","78.47222222222223","78.47222222222223","78.47222222222223","65.625","65.625","65.625","58.68055555555556","58.68055555555556","58.68055555555556","66.66666666666667","66.66666666666667","66.66666666666667","82.63888888888889","82.63888888888889","82.63888888888889","61.458333333333336","61.458333333333336","61.458333333333336","70.83333333333333","70.83333333333333","70.83333333333333"
"32","73.61111111111111","73.61111111111111","73.61111111111111","73.61111111111111","73.61111111111111","73.61111111111111","64.58333333333333","64.58333333333333","64.58333333333333","72.22222222222223","72.22222222222223","72.22222222222223","70.83333333333333","70.83333333333333","70.83333333333333","60.06944444444444","60.06944444444444","60.06944444444444","75.69444444444444","75.69444444444444","75.69444444444444","80.90277777777777","80.90277777777777","80.90277777777777","75.69444444444444","75.69444444444444","75.69444444444444"
"33","73.61111111111111","73.61111111111111","73.61111111111111","64.58333333333333","64.58333333333333","64.58333333333333","74.30555555555556","74.30555555555556","74.30555555555556","67.70833333333333","67.70833333333333","67.70833333333333","43.40277777777778","43.40277777777778","43.40277777777778","65.97222222222223","65.97222222222223","65.97222222222223","51.388888888888886","51.388888888888886","51.388888888888886","69.79166666666667","69.79166666666667","69.79166666666667","74.65277777777777","74.65277777777777","74.65277777777777"
"34","80.55555555555556","80.55555555555556","80.55555555555556","72.91666666666667","72.91666666666667","72.91666666666667","35.763888888888886","35.763888888888886","35.763888888888886","67.70833333333333","67.70833333333333","67.70833333333333","62.15277777777778","62.15277777777778","62.15277777777778","62.84722222222222","62.84722222222222","62.84722222222222","82.63888888888889","82.63888888888889","82.63888888888889","65.97222222222223","65.97222222222223","65.97222222222223","78.125","78.125","78.125"
"35","74.65277777777777","74.65277777777777","74.65277777777777","77.77777777777777","77.77777777777777","77.77777777777777","72.91666666666667","72.91666666666667","72.91666666666667","75","75","75","69.44444444444444","69.44444444444444","69.44444444444444","53.125","53.125","53.125","80.55555555555556","80.55555555555556","80.55555555555556","79.86111111111111","79.86111111111111","79.86111111111111","67.36111111111111","67.36111111111111","67.36111111111111"
"36","77.43055555555556","77.43055555555556","77.43055555555556","57.986111111111114","57.986111111111114","57.986111111111114","78.125","78.125","78.125","74.30555555555556","74.30555555555556","74.30555555555556","57.638888888888886","57.638888888888886","57.638888888888886","64.23611111111111","64.23611111111111","64.23611111111111","80.55555555555556","80.55555555555556","80.55555555555556","57.638888888888886","57.638888888888886","57.638888888888886","71.875","71.875","71.875"
"37","81.94444444444444","81.94444444444444","81.94444444444444","77.08333333333333","77.08333333333333","77.08333333333333","76.73611111111111","76.73611111111111","76.73611111111111","73.95833333333333","73.95833333333333","73.95833333333333","71.18055555555556","71.18055555555556","71.18055555555556","70.48611111111111","70.48611111111111","70.48611111111111","82.98611111111111","82.98611111111111","82.98611111111111","69.44444444444444","69.44444444444444","69.44444444444444","78.47222222222223","78.47222222222223","78.47222222222223"
"38","76.04166666666667","76.04166666666667","76.04166666666667","73.61111111111111","73.61111111111111","73.61111111111111","76.73611111111111","76.73611111111111","76.73611111111111","73.95833333333333","73.95833333333333","73.95833333333333","71.52777777777777","71.52777777777777","71.52777777777777","62.84722222222222","62.84722222222222","62.84722222222222","80.55555555555556","80.55555555555556","80.55555555555556","74.30555555555556","74.30555555555556","74.30555555555556","79.86111111111111","79.86111111111111","79.86111111111111"
"39","81.94444444444444","81.94444444444444","81.94444444444444","75","75","75","65.97222222222223","65.97222222222223","65.97222222222223","51.041666666666664","51.041666666666664","51.041666666666664","51.736111111111114","51.736111111111114","51.736111111111114","73.95833333333333","73.95833333333333","73.95833333333333","85.41666666666667","85.41666666666667","85.41666666666667","79.16666666666667","79.16666666666667","79.16666666666667","68.05555555555556","68.05555555555556","68.05555555555556"
"40","79.86111111111111","79.86111111111111","79.86111111111111","77.77777777777777","77.77777777777777","77.77777777777777","71.52777777777777","71.52777777777777","71.52777777777777","66.31944444444444","66.31944444444444","66.31944444444444","80.55555555555556","80.55555555555556","80.55555555555556","68.75","68.75","68.75","82.29166666666667","82.29166666666667","82.29166666666667","82.63888888888889","82.63888888888889","82.63888888888889","81.59722222222223","81.59722222222223","81.59722222222223"
"41","77.43055555555556","77.43055555555556","77.43055555555556","82.98611111111111","82.98611111111111","82.98611111111111","77.08333333333333","77.08333333333333","77.08333333333333","70.48611111111111","70.48611111111111","70.48611111111111","79.16666666666667","79.16666666666667","79.16666666666667","75.34722222222223","75.34722222222223","75.34722222222223","84.02777777777777","84.02777777777777","84.02777777777777","81.25","81.25","81.25","84.375","84.375","84.375"
"42","80.20833333333333","80.20833333333333","80.20833333333333","71.875","71.875","71.875","81.59722222222223","81.59722222222223","81.59722222222223","58.333333333333336","58.333333333333336","58.333333333333336","80.55555555555556","80.55555555555556","80.55555555555556","68.75","68.75","68.75","80.90277777777777","80.90277777777777","80.90277777777777","76.04166666666667","76.04166666666667","76.04166666666667","81.25","81.25","81.25"
"43","84.72222222222223","84.72222222222223","84.72222222222223","62.84722222222222","62.84722222222222","62.84722222222222","83.68055555555556","83.68055555555556","83.68055555555556","66.66666666666667","66.66666666666667","66.66666666666667","70.48611111111111","70.48611111111111","70.48611111111111","78.47222222222223","78.47222222222223","78.47222222222223","80.90277777777777","80.90277777777777","80.90277777777777","73.95833333333333","73.95833333333333","73.95833333333333","79.51388888888889","79.51388888888889","79.51388888888889"
"44","79.86111111111111","79.86111111111111","79.86111111111111","76.73611111111111","76.73611111111111","76.73611111111111","75.34722222222223","75.34722222222223","75.34722222222223","65.97222222222223","65.97222222222223","65.97222222222223","75.69444444444444","75.69444444444444","75.69444444444444","77.43055555555556","77.43055555555556","77.43055555555556","75.69444444444444","75.69444444444444","75.69444444444444","77.43055555555556","77.43055555555556","77.43055555555556","82.98611111111111","82.98611111111111","82.98611111111111"
"45","64.23611111111111","64.23611111111111","64.23611111111111","78.125","78.125","78.125","60.06944444444444","60.06944444444444","60.06944444444444","71.875","71.875","71.875","79.51388888888889","79.51388888888889","79.51388888888889","69.09722222222223","69.09722222222223","69.09722222222223","83.68055555555556","83.68055555555556","83.68055555555556","79.86111111111111","79.86111111111111","79.86111111111111","79.86111111111111","79.86111111111111","79.86111111111111"
"46","82.29166666666667","82.29166666666667","82.29166666666667","79.51388888888889","79.51388888888889","79.51388888888889","74.65277777777777","74.65277777777777","74.65277777777777","72.22222222222223","72.22222222222223","72.22222222222223","81.25","81.25","81.25","67.01388888888889","67.01388888888889","67.01388888888889","82.29166666666667","82.29166666666667","82.29166666666667","75.34722222222223","75.34722222222223","75.34722222222223","80.20833333333333","80.20833333333333","80.20833333333333"
"47","90.97222222222223","90.97222222222223","90.97222222222223","79.16666666666667","79.16666666666667","79.16666666666667","80.55555555555556","80.55555555555556","80.55555555555556","73.61111111111111","73.61111111111111","73.61111111111111","68.75","68.75","68.75","77.43055555555556","77.43055555555556","77.43055555555556","79.16666666666667","79.16666666666667","79.16666666666667","81.94444444444444","81.94444444444444","81.94444444444444","83.33333333333333","83.33333333333333","83.33333333333333"
"48","87.5","87.5","87.5","81.59722222222223","81.59722222222223","81.59722222222223","82.63888888888889","82.63888888888889","82.63888888888889","73.26388888888889","73.26388888888889","73.26388888888889","78.47222222222223","78.47222222222223","78.47222222222223","73.61111111111111","73.61111111111111","73.61111111111111","88.88888888888889","88.88888888888889","88.88888888888889","84.72222222222223","84.72222222222223","84.72222222222223","86.45833333333333","86.45833333333333","86.45833333333333"
"49","85.76388888888889","85.76388888888889","85.76388888888889","70.13888888888889","70.13888888888889","70.13888888888889","76.38888888888889","76.38888888888889","76.38888888888889","71.18055555555556","71.18055555555556","71.18055555555556","77.43055555555556","77.43055555555556","77.43055555555556","76.38888888888889","76.38888888888889","76.38888888888889","81.59722222222223","81.59722222222223","81.59722222222223","85.76388888888889","85.76388888888889","85.76388888888889","82.98611111111111","82.98611111111111","82.98611111111111"
"50","81.25","81.25","81.25","79.51388888888889","79.51388888888889","79.51388888888889","82.98611111111111","82.98611111111111","82.98611111111111","72.56944444444444","72.56944444444444","72.56944444444444","85.41666666666667","85.41666666666667","85.41666666666667","77.77777777777777","77.77777777777777","77.77777777777777","91.31944444444444","91.31944444444444","91.31944444444444","78.81944444444444","78.81944444444444","78.81944444444444","86.45833333333333","86.45833333333333","86.45833333333333"
"51","73.95833333333333","73.95833333333333","73.95833333333333","79.51388888888889","79.51388888888889","79.51388888888889","85.06944444444444","85.06944444444444","85.06944444444444","71.52777777777777","71.52777777777777","71.52777777777777","84.02777777777777","84.02777777777777","84.02777777777777","77.43055555555556","77.43055555555556","77.43055555555556","86.45833333333333","86.45833333333333","86.45833333333333","70.13888888888889","70.13888888888889","70.13888888888889","83.68055555555556","83.68055555555556","83.68055555555556"
"52","78.125","78.125","78.125","85.06944444444444","85.06944444444444","85.06944444444444","82.63888888888889","82.63888888888889","82.63888888888889","73.61111111111111","73.61111111111111","73.61111111111111","87.15277777777777","87.15277777777777","87.15277777777777","74.65277777777777","74.65277777777777","74.65277777777777","78.47222222222223","78.47222222222223","78.47222222222223","87.84722222222223","87.84722222222223","87.84722222222223","84.02777777777777","84.02777777777777","84.02777777777777"
"53","81.94444444444444","81.94444444444444","81.94444444444444","85.41666666666667","85.41666666666667","85.41666666666667","81.94444444444444","81.94444444444444","81.94444444444444","65.625","65.625","65.625","84.375","84.375","84.375","80.55555555555556","80.55555555555556","80.55555555555556","89.58333333333333","89.58333333333333","89.58333333333333","88.54166666666667","88.54166666666667","88.54166666666667","86.45833333333333","86.45833333333333","86.45833333333333"
"54","81.59722222222223","81.59722222222223","81.59722222222223","81.59722222222223","81.59722222222223","81.59722222222223","83.33333333333333","83.33333333333333","83.33333333333333","70.83333333333333","70.83333333333333","70.83333333333333","88.19444444444444","88.19444444444444","88.19444444444444","80.90277777777777","80.90277777777777","80.90277777777777","90.625","90.625","90.625","79.16666666666667","79.16666666666667","79.16666666666667","83.68055555555556","83.68055555555556","83.68055555555556"
"55","79.86111111111111","79.86111111111111","79.86111111111111","70.48611111111111","70.48611111111111","70.48611111111111","87.15277777777777","87.15277777777777","87.15277777777777","76.38888888888889","76.38888888888889","76.38888888888889","86.45833333333333","86.45833333333333","86.45833333333333","73.95833333333333","73.95833333333333","73.95833333333333","86.11111111111111","86.11111111111111","86.11111111111111","87.84722222222223","87.84722222222223","87.84722222222223","77.43055555555556","77.43055555555556","77.43055555555556"
"56","86.80555555555556","86.80555555555556","86.80555555555556","82.98611111111111","82.98611111111111","82.98611111111111","80.90277777777777","80.90277777777777","80.90277777777777","79.86111111111111","79.86111111111111","79.86111111111111","84.02777777777777","84.02777777777777","84.02777777777777","81.25","81.25","81.25","81.25","81.25","81.25","82.98611111111111","82.98611111111111","82.98611111111111","83.33333333333333","83.33333333333333","83.33333333333333"
"57","86.45833333333333","86.45833333333333","86.45833333333333","87.5","87.5","87.5","69.09722222222223","69.09722222222223","69.09722222222223","71.875","71.875","71.875","80.20833333333333","80.20833333333333","80.20833333333333","76.04166666666667","76.04166666666667","76.04166666666667","91.31944444444444","91.31944444444444","91.31944444444444","78.47222222222223","78.47222222222223","78.47222222222223","83.33333333333333","83.33333333333333","83.33333333333333"
